cle_unique;emplacement_source;datetime_ingestion;privacy_level;nom_entreprise;nro_avis;site_web;taille;date_fondation;secteur;revenu;type_entreprise
145289307529235238774347845899396187402;13564-INFO-SOC-GLASSDOOR-E4245_P1.html;2021-03-28 15:57:08;0;Bayer; 3,2k;www.career.bayer.com;Plus de 10 000 employés; 1863; Biotechnologies et pharmaceutique; Entre 5 et 10 milliards € (EUR) par an; Entreprise cotée en bourse (BAYN) 
106273173652352967741797136056727562063;13553-INFO-SOC-GLASSDOOR-E5304_P1.html;2021-03-28 15:57:08;0;Atos-Syntel; 3,3k;www.atos-syntel.net;Plus de 10 000 employés; 1980; Services informatiques; Entre 1 et 2 milliards € (EUR) par an; Filiale ou unité d'exploitation
155562707095987989723819348515221493832;13764-INFO-SOC-GLASSDOOR-E1164584_P1.html;2021-03-28 15:57:08;0;Artefacts Studio; 3;www.artefacts-studio.fr;De 1 à 50 employés; 2003; Inconnu; Ne sait pas / non applicable par an; Entreprise non cotée en bourse
61589185142188199501527030326500473842;13736-INFO-SOC-GLASSDOOR-E410527_P1.html;2021-03-28 15:57:08;0;Thales-Raytheon Systems; 29;www.thalesraytheon.com;De 501 à 1 000 employés; 2001; Gestion des transports; Entre 100 et 500 millions € (EUR) par an; Entreprise non cotée en bourse
182585254314735697904004780143529554177;13693-INFO-SOC-GLASSDOOR-E762009_P1.html;2021-03-28 15:57:08;0;Datadog; 132;www.datadoghq.com;De 1 001 à 5 000 employés; 2010; Matériel et logiciels informatiques; Ne sait pas / non applicable; Entreprise cotée en bourse (DDOG) 
170545731443730709551961544672865449060;13584-INFO-SOC-GLASSDOOR-E1044716_P1.html;2021-03-28 15:57:09;0;Smile Group; 123;www.smile.eu;De 1 001 à 5 000 employés; 1991; Services informatiques; Entre 100 et 500 millions € (EUR) par an; Entreprise non cotée en bourse
125360555563958745705249296404939383118;13706-INFO-SOC-GLASSDOOR-E19928_P1.html;2021-03-28 15:57:09;0;Merial; 135;www.merial.com;De 1 001 à 5 000 employés; Inconnu; Fabrication de produits grand public; Entre 25 et 50 millions € (EUR) par an; Filiale ou unité d'exploitation
161937714265242086820802657780530927348;13571-INFO-SOC-GLASSDOOR-E1061225_P1.html;2021-03-28 15:57:09;0;Expertime; 18;www.expertime.com;De 51 à 200 employés; 2003; Services informatiques; Entre 5 et 10 millions € (EUR) par an; Entreprise non cotée en bourse
331610075619063370385654012843633527371;13660-INFO-SOC-GLASSDOOR-E26056_P1.html;2021-03-28 15:57:09;0;Groupe SII; 169;www.groupe-sii.com;De 1 001 à 5 000 employés; 1979; Services informatiques; Entre 100 et 500 millions € (EUR) par an; Entreprise cotée en bourse (SII) 
105457069264047106787151573714951532295;13624-INFO-SOC-GLASSDOOR-E397805_P1.html;2021-03-28 15:57:09;0;STM; 61;www.stm.info/fr/emploi;De 5 001 à 10 000 employés; 1861; Secteur ferroviaire; Entre 100 et 500 millions € (EUR) par an; Gouvernement
185214314343475113398366324538213342834;13603-INFO-SOC-GLASSDOOR-E5772_P1.html;2021-03-28 15:57:09;0;Volvo Trucks; 486;www.volvotrucks.com;De 1 001 à 5 000 employés; 1928; Fabrication d'équipement de transport; Entre 1 et 2 milliards € (EUR) par an; Filiale ou unité d'exploitation
159153829471340654360648174467180174076;13809-INFO-SOC-GLASSDOOR-E413452_P1.html;2021-03-28 15:57:09;0;Transdev; 399;www.transdevna.com;Plus de 10 000 employés; 2011; Gestion des transports; Ne sait pas / non applicable; Entreprise non cotée en bourse
279357495094745955877021215790185885405;13606-INFO-SOC-GLASSDOOR-E31197_P1.html;2021-03-28 15:57:10;0;Volvo Construction Equipment; 196;www.volvo.com/constructionequipment/na/en-us;Entre 201 et 500 employés; 1985; Fabrication industrielle; Ne sait pas / non applicable par an; Filiale ou unité d'exploitation
127136800945561767074325003706597374510;13570-INFO-SOC-GLASSDOOR-E1394648_P1.html;2021-03-28 15:57:10;0;Abaka; 6;www.abaka.fr;De 1 à 50 employés; 2002; Conseils; Entre 1 et 5 millions € (EUR) par an; Cabinet / Société du secteur privé
33779172010462309679840043672625783005;13761-INFO-SOC-GLASSDOOR-E1366034_P1.html;2021-03-28 15:57:10;0;Artefact; 78;www.artefact.com;De 501 à 1 000 employés; Inconnu; Conseils; Ne sait pas / non applicable; Entreprise cotée en bourse
208203615925131506977969880977988166128;13689-INFO-SOC-GLASSDOOR-E2098670_P1.html;2021-03-28 15:57:10;0;Adsearch; 16;www.adsearch.fr;De 51 à 200 employés; Inconnu; Inconnu; Ne sait pas / non applicable par an; Entreprise non cotée en bourse
316464706382300259468707054578458805083;13598-INFO-SOC-GLASSDOOR-E1363502_P1.html;2021-03-28 15:57:10;0;Lacoste Traiteur; 2;www.lacoste-traiteur.com;De 51 à 200 employés; Inconnu; Inconnu; Ne sait pas / non applicable par an; Entreprise non cotée en bourse
151458006883178921786531221929641828583;13760-INFO-SOC-GLASSDOOR-E1194086_P1.html;2021-03-28 15:57:10;0;Open Sourcing; 4;www.opensourcing.fr;De 1 à 50 employés; 2008; Recrutement et sous-traitance; Moins d&#039,1 million € (EUR) par an; Entreprise non cotée en bourse
306840118631115047910437432438615801592;13550-INFO-SOC-GLASSDOOR-E10686_P1.html;2021-03-28 15:57:10;0;Atos; 5,6k;www.atos.net;Plus de 10 000 employés; 1919; Services informatiques; Entre 5 et 10 milliards € (EUR) par an; Entreprise cotée en bourse (ATO) 
201231288350572880039218648549130701648;13633-INFO-SOC-GLASSDOOR-E672181_P1.html;2021-03-28 15:57:11;0;Softeam; 71;www.softeam.fr;De 501 à 1 000 employés; Inconnu; Matériel et logiciels informatiques; Entre 50 et 100 millions € (EUR) par an; Entreprise non cotée en bourse
48193758076829440213025989427559369124;13600-INFO-SOC-GLASSDOOR-E541990_P1.html;2021-03-28 15:57:11;0;CGIAR; 15;www.cgiar.org;De 5 001 à 10 000 employés; Inconnu; Assistance sociale; Ne sait pas / non applicable par an; Association à but non lucratif
101181579232737351980061787149810937021;13704-INFO-SOC-GLASSDOOR-E9347_P1.html;2021-03-28 15:57:11;0;Sanofi; 4,1k;www.sanofi.com;Plus de 10 000 employés; 1973; Biotechnologies et pharmaceutique; Entre 5 et 10 milliards € (EUR) par an; Entreprise cotée en bourse (SNY) 
78197934847273801268418616585447231502;13722-INFO-SOC-GLASSDOOR-E1256638_P1.html;2021-03-28 15:57:11;0;Group Adaming; 49;www.adaming.fr;De 501 à 1 000 employés; 2010; Services informatiques; Entre 25 et 50 millions € (EUR) par an; Cabinet / Société du secteur privé
156357297475163834374960213466582965700;13753-INFO-SOC-GLASSDOOR-E13339_P1.html;2021-03-28 15:57:11;0;Open; 232;www.open.global;De 1 001 à 5 000 employés; 1989; Services d'architecture et d'ingénierie; Entre 100 et 500 millions € (EUR) par an; Entreprise cotée en bourse (OPN) 
38519180103630749349065736701190875912;13769-INFO-SOC-GLASSDOOR-E658429_P1.html;2021-03-28 15:57:11;0;Phaidon International; 244;www.phaidoninternational.com;De 501 à 1 000 employés; 2004; Recrutement et sous-traitance; Entre 100 et 500 millions € (EUR) par an; Entreprise non cotée en bourse
146884425935990894731178475658460091380;13741-INFO-SOC-GLASSDOOR-E1132227_P1.html;2021-03-28 15:57:11;0;JEMS Group; 57;www.jems-group.com;Entre 201 et 500 employés; 2002; Services informatiques; Entre 25 et 50 millions € (EUR) par an; Entreprise non cotée en bourse
128829088203452789776928249362215951916;13802-INFO-SOC-GLASSDOOR-E3127620_P1.html;2021-03-28 15:57:12;0;LA REDOUTE; 1;www.laredoute.com;Inconnu; Inconnu; Inconnu; Ne sait pas / non applicable par an; Entreprise cotée en bourse
187151215373130997151432311433249917083;13780-INFO-SOC-GLASSDOOR-E35333_P1.html;2021-03-28 15:57:12;0;GFI Group; 86;www.gfigroup.com;De 1 001 à 5 000 employés; 1987; Services de courtage; Entre 500 millions et 1 milliard € (EUR) par an; Entreprise cotée en bourse (GFIG) 
255500163796382752914709951718005517439;13714-INFO-SOC-GLASSDOOR-E10777_P1.html;2021-03-28 15:57:12;0;Lectra; 105;www.lectra.com;De 1 001 à 5 000 employés; 1973; Matériel et logiciels informatiques; Entre 500 millions et 1 milliard € (EUR) par an; Entreprise cotée en bourse (LSS) 
66398693108680198568688437950779316425;13691-INFO-SOC-GLASSDOOR-E1130973_P1.html;2021-03-28 15:57:12;0;Groupe Adéquat; 49;www.groupeadequat.com;De 501 à 1 000 employés; 1987; Recrutement et sous-traitance; Entre 500 millions et 1 milliard € (EUR) par an; Entreprise non cotée en bourse
258987110245062722807477100318430462906;13637-INFO-SOC-GLASSDOOR-E3133104_P1.html;2021-03-28 15:57:12;0;ALTRAN; 3;www.meinjobinhamburg.de;Inconnu; Inconnu; Inconnu; Ne sait pas / non applicable par an; Entreprise cotée en bourse
64353860772578418758223376565447092382;13723-INFO-SOC-GLASSDOOR-E373493_P1.html;2021-03-28 15:57:12;0;Micropole; 51;www.micropole.com;De 1 001 à 5 000 employés; 1987; Conseils; Entre 100 et 500 millions € (EUR) par an; Entreprise cotée en bourse
35980731983247099802155957755468660183;13572-INFO-SOC-GLASSDOOR-E2098670_P1.html;2021-03-28 15:57:12;0;Adsearch; 16;www.adsearch.fr;De 51 à 200 employés; Inconnu; Inconnu; Ne sait pas / non applicable par an; Entreprise non cotée en bourse
184085874994859160828844027638865487954;13679-INFO-SOC-GLASSDOOR-E906809_P1.html;2021-03-28 15:57:12;0;Fortuneo SA; 16;www.fortuneo.fr;Entre 201 et 500 employés; 2000; Banques et organismes de crédit; Ne sait pas / non applicable par an; Filiale ou unité d'exploitation
8101933712943335398191064213152612949;13615-INFO-SOC-GLASSDOOR-E6538_P1.html;2021-03-28 15:57:12;0;CNH Industrial; 1,2k;www.cnhindustrial.com;Plus de 10 000 employés; 2013; Fabrication industrielle; Entre 5 et 10 milliards € (EUR) par an; Entreprise cotée en bourse (CNHI) 
